YYYYMM	서울특별시	부산광역시	대구광역시	인천광역시	광주광역시	대전광역시	울산광역시	경기도	강원도	충청북도	충청남도	전라북도	전라남도	경상북도	경상남도	제주특별자치도	세종특별자치시	전국
2006-12	59.12570667	57.28062911	59.61314768	64.76314306	61.96635789	59.42559359	63.68010014	59.25471904	67.4017129	56.759699	57.42609981	65.04232253	67.96976	64.76654425	57.01263523	62.80864284	0	59.5277131
2007-01	59.51305183	57.30441779	59.67555937	65.35563018	61.98914746	59.7839779	64.41321235	59.73037031	67.39326962	56.73951989	57.44388692	65.31628067	68.01849597	65.25891673	57.17871021	63.11200744	0	59.84095339
2007-02	59.75154318	57.42314987	59.52920786	65.82357715	62.07798671	60.01679859	64.8816958	59.99781621	67.40620179	56.72195964	57.66015217	65.5809148	68.23405429	65.50188897	57.32423416	63.3770669	0	60.04733327
2007-03	60.11332146	57.57301887	59.3290145	66.25542366	62.18266662	60.05935735	65.13820072	60.36812675	67.25873734	56.83153294	57.86363953	65.72080211	68.33162381	65.89071414	57.71088073	63.53001112	0	60.30119301
2007-04	60.37484053	57.80497551	59.13099175	66.73035698	62.27649983	60.08447978	65.42880675	60.55991886	67.4065417	56.94234675	57.93239921	65.83197915	68.41163892	66.13732907	57.91495281	63.53001112	0	60.48420229
2007-05	60.34403757	57.92654845	58.79996632	66.87554644	62.2468629	60.06126467	65.52898835	60.39493489	67.36173552	56.7724999	57.99576862	66.01352672	68.54090346	66.28475723	58.09033535	63.53001112	0	60.45366112
2007-06	60.31911662	58.00206182	58.29877656	67.08933957	62.26701135	60.08276133	65.69883426	60.25128144	67.33747296	56.69199937	57.9835445	66.034931	68.53714257	66.38475648	58.28648465	63.75455672	0	60.41880795
2007-07	60.36499794	58.06989949	57.895091	67.06907197	62.38774699	60.22436216	65.76113217	60.19519426	67.18762163	56.68430842	58.03031029	66.12474319	68.73295146	66.40655744	58.38073965	63.70257582	0	60.41580871
2007-08	60.45794099	58.13543456	57.75702565	67.03828626	62.41570925	60.28836417	65.75808125	60.25156498	67.18286054	56.68972388	58.10157796	66.20933278	68.98879233	66.48437454	58.46907967	63.8598406	0	60.46445988
2007-09	60.50619418	58.30921469	57.76484771	66.87932772	62.43563169	60.42840256	65.74827363	60.45208119	67.10121665	56.74067482	58.22266958	66.29346987	69.19963686	66.64568855	58.59529842	64.07190903	0	60.5576047
2007-10	60.54161013	58.47617892	57.93134188	66.71899055	62.51421345	60.6514865	65.80401599	60.51774977	67.10359876	56.78210137	58.28007554	66.50237462	69.25285955	66.67187846	58.74711256	64.07405502	0	60.62992365
2007-11	60.48357966	58.69343035	57.94254099	66.61175225	62.58287168	60.74986327	65.68819675	60.47178718	67.07357154	56.68045205	58.20916897	66.78552899	69.29497294	66.6795073	58.92983863	64.30185733	0	60.63890634
2007-12	60.41846388	58.92478115	57.93759288	66.43266544	62.62478827	60.91051341	65.56119519	60.42771295	67.03084643	56.72632316	58.10234725	67.01821776	69.94221132	66.65043128	59.02968111	64.24456492	0	60.64731715
2008-01	60.54017979	59.15095808	57.77431402	66.33884495	62.72539404	61.04749574	65.71506954	60.45077554	66.92587829	56.88535529	57.92254373	67.37441373	69.93729394	66.55185296	59.16244828	64.30345137	0	60.70988326
2008-02	60.70325761	59.28016309	57.69260677	66.37861848	62.79628306	61.2253374	65.72074939	60.61853843	66.87832836	57.31430966	57.76584876	67.66268227	70.10560418	66.48273304	59.19950755	64.30345137	0	60.82411757
2008-03	61.12045492	59.68486472	57.70839632	66.5927799	63.02876507	61.45361471	65.62290202	61.03011513	66.74626012	57.70094843	57.89666655	68.12989122	70.44318311	66.58795325	59.35656649	64.3976311	0	61.12637692
2008-04	61.50907457	59.95014653	57.57793745	66.99373561	63.50115327	61.62918324	65.82707044	61.5009714	66.62063596	58.09370008	58.01152559	68.91001871	71.12429433	66.7790036	59.70929561	64.39972239	0	61.47273239
2008-05	61.6240335	60.03467964	57.53573723	67.18788408	63.85489287	61.78526462	65.85462	61.68596563	66.62734254	58.13672933	58.18533215	69.38278943	71.40586226	66.7309286	59.82462032	64.52720303	0	61.61397734
2008-06	61.64622989	60.14798279	57.47042268	67.53465539	64.17895193	61.93792871	65.87082127	61.78550442	66.56825756	58.31452087	58.4567543	70.06432766	71.51969927	66.69498121	60.0037945	64.53751308	0	61.73479209
2008-07	61.68981733	60.23323606	57.43644827	67.87997372	64.35445119	62.06632105	65.69964778	61.86067717	66.4808033	58.38049861	58.58649875	70.40571775	71.77541288	66.63175305	60.07626853	64.59887675	0	61.81795269
2008-08	61.68820829	60.32222506	57.37355619	68.19516804	64.53077736	62.28021748	65.59628154	61.88730775	66.44966022	58.48048058	58.86713676	70.67195356	71.84246685	66.55184143	60.27906094	64.75047214	0	61.8898696
2008-09	61.74522062	60.60239239	57.36682723	69.04841649	64.69960676	62.53707792	65.4771046	62.06778183	66.33434466	58.57569897	59.76894138	70.89402374	72.14595639	66.41118673	60.76695561	65.31931212	0	62.10218024
2008-10	61.60775288	60.84361178	57.29772469	69.83332151	64.89517056	62.82608217	65.46884958	62.07188407	66.3121914	58.66425223	60.22171623	70.74980744	72.99646151	66.31007298	61.26319298	65.84532984	0	62.21034298
2008-11	60.99881618	60.99103534	56.96351866	69.85886323	65.10818807	63.19394383	65.45813133	61.47122264	66.36246374	58.63817667	60.40345884	70.39973134	73.36943754	65.94912276	61.57394184	66.27188685	0	61.95702109
2008-12	59.35931317	61.03185079	55.93953813	69.17928173	65.21723496	63.30481098	64.88022422	60.12852887	66.31571091	58.47174268	60.20085111	69.91071984	73.41245287	64.58390809	61.55679569	66.27188685	0	61.10423696
2009-01	58.36196001	61.03551239	54.90473149	68.50905147	65.13919631	63.17366297	64.54979966	58.79119692	66.08464736	58.47950645	59.8020555	69.4540438	73.03625328	63.86008932	61.47100004	67.24909626	0	60.36754872
2009-02	58.48232455	61.18233139	53.99448825	68.10787892	65.07034038	63.2922238	64.25303272	58.44609615	65.99622112	58.54772166	59.54078587	69.45578354	73.10541476	63.49902195	61.53878984	67.32871925	0	60.21561198
2009-03	58.86831569	61.36816867	53.67417655	68.02844854	64.98739189	63.3502529	64.10075826	58.59185609	65.93901547	58.54728357	59.30384498	69.99939032	73.38454162	63.16182833	61.7155838	67.32892345	0	60.33508409
2009-04	59.23634117	61.50228571	53.51710383	67.89653924	64.98195097	63.4672259	64.08361072	58.78091328	65.91428708	58.64413616	59.33793747	70.46891802	73.48253527	63.12680944	61.85380417	67.66418123	0	60.48638756
2009-05	59.47578539	61.76305799	53.47603412	67.964972	64.92755325	63.63152672	64.05123544	59.11751981	65.93484832	58.71067329	59.36984941	70.67493941	73.53712562	63.11390768	61.86667805	67.67587626	0	60.66223994
2009-06	59.91437124	61.93616915	53.47922852	68.08310716	64.90364768	63.96170014	64.11372103	59.4429277	65.90484209	58.72742684	59.30584844	70.94923182	73.75075815	63.21453649	62.06808912	67.71719874	0	60.89861799
2009-07	60.44254146	62.09611536	53.61169758	68.25506501	64.92573763	64.3814382	64.38378314	59.84752071	65.91331953	58.75889115	59.36348285	71.25210693	73.74158055	63.17075158	62.18279881	67.54255282	0	61.18538386
2009-08	61.01947935	62.30034425	53.84783619	68.51648838	64.95319558	64.77198422	64.71772674	60.33385197	65.96449011	59.06863187	59.43928872	71.6249634	73.87062854	63.23949501	62.26350976	67.885515	0	61.53702876
2009-09	62.72145968	63.13417077	54.41072208	69.65197059	65.04172837	66.20161733	65.43849781	61.86412732	66.03885249	59.58816331	59.61597861	72.23268838	74.50921881	63.61249152	62.77392514	68.06395664	0	62.62944053
2009-10	63.4056915	63.67953496	54.84882668	70.15947164	65.0688088	67.35241685	65.88151978	62.5306059	66.05360779	60.01524076	59.81357157	72.97601332	74.97666569	63.79475099	63.09603296	68.06395664	0	63.17707056
2009-11	63.93424893	64.56695611	55.29697371	70.5647307	65.01147254	68.6747329	66.60734455	62.87830262	66.23614053	60.35439813	60.00386693	73.89429844	75.32863831	64.06737597	63.71307307	68.66639115	0	63.66821951
2009-12	64.16795264	65.09022218	55.56057658	70.5504382	65.05861056	69.73910741	66.79205317	62.83017625	66.35318034	60.59670399	60.12731036	74.48307905	76.44930804	64.15370594	63.96828915	69.2303886	0	63.88287622
2010-01	64.52124597	65.48649391	55.70657675	70.60268705	65.223059	71.09093009	67.20949657	62.87594764	66.49475488	60.95694772	60.19477987	74.77384946	76.95905588	64.25280033	64.19934057	69.29232555	0	64.13046384
2010-02	65.15742982	66.44599797	56.13797592	70.89014412	65.37787638	73.90593801	67.68066539	63.17927259	66.78614613	61.2548566	60.42173782	75.32093436	77.50733821	64.59682083	64.79637861	69.84140763	0	64.6828507
2010-03	65.61105823	67.49630711	56.4417444	71.27655186	65.45959021	74.93098126	68.12344559	63.67670947	67.12348981	61.71381321	60.76378305	75.98169692	78.33079097	64.73245518	65.53722586	69.9139131	0	65.20330035
2010-04	65.93164351	68.54535767	56.65088601	71.64774979	65.53122482	76.00840294	68.6524552	64.12756506	67.44831498	62.17115692	60.93407387	76.36188849	78.7864957	64.77711193	66.31564364	70.54797932	0	65.66188718
2010-05	66.12606294	69.48911293	56.80706081	72.01260929	65.60191377	76.71631158	69.10992788	64.3471452	67.52025936	62.42910077	61.19485141	76.6825255	78.88786528	64.75864028	66.95044842	71.25297614	0	65.97800417
2010-06	66.22526601	70.30800846	56.97988389	72.31373916	65.68241007	77.44529527	69.44556367	64.38804329	67.59124545	62.85855134	61.49715856	77.56749028	79.3147323	64.75399511	67.823365	72.23654588	0	66.25711335
2010-07	66.26801477	71.17687939	57.11957743	72.63537699	65.783744	77.74673499	69.60705694	64.3974174	67.82892283	63.00936825	61.83040203	78.67713609	80.07830372	64.7089283	68.37559203	73.38840291	0	66.49135666
2010-08	66.39618029	71.9355623	57.28287786	72.95253362	66.01179141	78.55442697	69.9157097	64.55900696	68.00873061	63.32613894	62.16544262	79.04329039	80.41388502	64.72480368	69.03985487	73.79372911	0	66.78003104
2010-09	66.85410886	72.68891825	57.61950576	73.43309693	66.07466191	78.95162475	70.09274637	65.09691307	68.19612918	63.85417848	62.50854691	79.62722702	81.21559883	64.74190684	69.74205231	73.84033125	0	67.25396183
2010-10	67.6233116	73.85468957	57.93789124	74.14639885	66.19610084	79.64172812	70.33896718	65.86509975	68.50592754	64.06266882	62.8731002	80.09344026	81.4334899	64.80537042	70.70114459	74.00685928	0	67.90985529
2010-11	68.37762413	75.59086533	58.59417293	74.99441921	66.46716428	80.90654675	70.88423251	66.80014134	68.76440528	64.76223717	63.49662532	81.11278925	82.38396708	65.30251413	72.83769101	74.95196168	0	68.85560704
2010-12	68.90656015	77.16253907	59.03602008	75.18974661	66.95864776	82.627955	71.15624372	67.30328868	69.01921816	65.6737248	63.97348563	81.95703925	82.82747705	65.66765223	74.28092129	75.65391374	0	69.53519451
2011-01	69.68967208	78.63870915	59.51088705	75.2526479	67.41034371	83.78889947	71.89344393	68.00849797	69.56804736	66.27114495	64.40146418	82.6842229	83.30511156	65.94498887	75.53442658	76.63412177	0	70.2779056
2011-02	71.15704518	80.3381391	60.55190019	75.75277826	68.71052236	86.26233369	72.99451025	69.69657983	70.47288693	67.50849292	65.05607974	84.3294903	84.35478395	66.34663888	77.61626955	77.59523501	0	71.71467133
2011-03	72.43198582	82.3810335	61.61497787	76.52689964	70.70636452	87.78679437	74.48226953	71.8599795	71.81036398	69.36939852	66.07148612	85.41697521	85.49575536	67.49582739	80.38929224	77.93264357	0	73.3658144
